8788,20027169,20153068,56575.70,4995,4449,8253
4077,20021814,20117219,83323.43,2077,5605,5909
8279,20057311,20159866,53893.10,1273,1794,8616
8411,20200774,20070656,85854.87,5739,175,8461
4786,19992626,19995742,87262.95,5307,1306,4941
3787,20198142,20170239,33507.77,5580,7555,9186
2024,19994374,20179954,54930.19,1970,3338,6108
3868,20120688,19995455,88430.39,521,4911,8222
3973,19992770,20108376,88022.41,9779,3689,8497
4721,20108354,20161719,28530.64,977,922,4062
5489,19995108,20009955,53176.67,6435,3860,3949
9221,20200910,19996498,35302.31,3775,7999,4972
2954,20053985,20170880,17228.27,5757,1315,634
7524,20197922,20116695,97086.70,6097,1561,8833
8591,20004292,20118983,76372.95,3323,5003,1598
6126,20072270,20168548,69208.60,7249,5196,2303
3451,19994455,20012500,87778.96,7158,7931,3503
1659,20138856,20018052,94533.04,232,2072,7789
3119,20187817,19999937,17111.06,9829,2652,7883
7015,20156684,20079615,5037.86,2615,7898,3051
1096,19997768,20144896,34853.24,6578,5041,288
1258,20004714,20135545,47230.40,4364,2324,8633
7390,20116287,20003386,99329.00,6731,2575,3148
6543,20113841,20015901,9879.06,9512,2087,8541
4744,20127241,20067354,37719.39,2853,5971,5033
8509,20125962,20145003,46468.40,4363,9010,8350
4931,20174942,20082557,37787.54,1980,7027,5274
9167,20033497,20151018,12431.48,216,7177,1213
2284,20120780,20101836,2970.79,6965,7324,2123
2630,20174007,20150417,58815.93,1827,8549,1484
8945,20094564,20174572,18538.76,9896,5461,7436
4442,20073878,20011186,5424.95,5162,5037,656
6559,20101207,20123653,71926.93,4845,4307,6476
8629,20122156,20143607,6772.92,4609,6904,5318
3991,20140463,20033264,93624.07,5531,9355,9016
5522,20159471,20111350,17720.95,8939,6221,4230
1040,20165049,20188941,64302.27,1067,8301,7799
7896,20040063,20165517,96731.59,2536,1736,5440
6069,20133864,19996438,46007.59,7826,3625,5693
8862,20185716,20115067,32661.16,5961,524,2723
2526,20033215,20081339,94647.94,9587,8000,4505
3011,20162816,20085687,99160.07,2747,3312,8570
5534,20154975,20136733,46214.95,8216,7832,5301
7490,20039328,20059262,72612.71,4064,143,8738
2066,20109945,20035362,76189.66,9823,156,7847
9320,20012994,20112318,91300.48,4954,1025,5549
4078,20064293,20031539,68448.99,9934,9297,1446
9594,20153507,20160828,44767.96,8920,8169,7944
4355,20139637,20017404,47062.78,545,218,9851
2780,20130173,20164647,27406.97,1827,2322,2357
5504,20173046,20036794,68600.30,808,3737,5319
8350,19992642,20097842,22431.48,2020,7839,7828
3672,20172342,20169108,75903.37,5712,8727,1817
3644,20023890,20173578,29832.42,1297,173,5597
